registration_date,location,road,village,subdistrict,district,province,coordinates,additional_details,image1_url,image2_url,status,note
2025-08-12 13:42:06+07,สะพานเดชา(ขาขึ้น),พหลโยธิน,,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,"15.689168431276958, 100.1233504968898",ร่องสะพานห่าง ทำให้รถตกร่องล้มเอง,https://lh3.googleusercontent.com/d/1fHE47Nl3UQQ0eYx0CKCO8_a6wlJgWtWQ,,ดำเนินการแก้ไขแล้ว,
2025-08-12 18:18:53+07,จุดกลับรถแกรนด์วิว,นวมินทร์-บ้านแก่ง,,วัดไทรย์,เมืองนครสวรรค์,นครสวรรค์,"15.730911143531147, 100.10147868089628",รถออกจากซอย ย้อนศร ตัดหน้า,https://lh3.googleusercontent.com/d/1ZEI-SR6kdNpqphtMi6Td-Goe7x0UNz7k,,ดำเนินการแก้ไขแล้ว,
2025-08-20 17:31:41+07,จุดกลับรถสาธารณะสุข,พหลโยธิน,,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,"15.706932846508158, 100.10559098296245",รถจักรยานยนต์ย้อนศรจำนวนมาก และรถที่กลับรถเปลี่ยนช่องทางเดินรถกระทันหัน,https://drive.google.com/uc?id=10nIfo817JyLzk820JmR2vzZEgX6CBYwq,,อยู่ระหว่างดำเนินการ,
2025-08-29 16:38:07+07,โรงเรียนอนุบาลนครสวรรค์,เจ้าสี่พระยา,,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,"15.6771191,100.1082292",ไม่สามารถ เดินทางเข้าออกซอยได้เนื่องจากรถ ผู้ปกครองโรงเรียนอนุบาลนครสวรรค์ จอดรอ เพื่อรับเด็กนักเรียน,https://lh3.googleusercontent.com/d/1x8LD4aAEQwReuRC_MvAuQQqhe-Qd2NHk,https://lh3.googleusercontent.com/d/1bcDCcPJIuREM20TmG5qNquJ70nETfsKa,ดำเนินการแก้ไขแล้ว,
2025-09-01 07:17:44+07,แยกนวมินทร์ ขาออกจากบ้านแก่ง,บ้านแก่ง-นวมินทร์,,วัดไทรย์,เมืองนครสวรรค์,นครสวรรค์,"15.7260158, 100.1178195",รถจักรยานยนตซ์จอดผิดช่องทาง จอดช่องทางเลี้ยวซ้ายซ้อนคัน เพื่อรอไฟเขัยวเลี้ยวขวา อันตรายมาก,https://lh3.googleusercontent.com/d/11VGCOG1g5eF_cDBp7PI4PC_ox5INbCsQ,,ดำเนินการแก้ไขแล้ว,
2025-09-13 16:23:04+07,ริมถนน ฝั่งไปร.รอนุบาล,ถ.โกสีย์ใต้,,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,"15.6753130, 100.1082829",เนื่องจากมีเสาปูวางอยู่บนถนน ถนนตรงนั้นแคป รถสวนกันลำบาก อาจเฉี่ยวชนได้,https://lh3.googleusercontent.com/d/1YUhtDtnIn5MIDok9aZjhFuPYaIWV5WPA,,ดำเนินการแก้ไขแล้ว,
2025-09-15 15:25:06+07,แยกสะพานดำ,สวรรค์วิถี,,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,"15.6832048, 100.1068103",ต้นไม้บังไฟเขียว ไฟแดง,https://lh3.googleusercontent.com/d/1muiG7wjNtTmBvJ6AcUbxLPpe5-SaXdfP,,ดำเนินการแก้ไขแล้ว,
2026-03-02 22:06:39+07,แยกหนองเบน,พหลโยธิน,,หนองกรด,เมืองนครสวรรค์,นครสวรรค์,"15.7660183, 99.9894171",แสงบริเวณแยกหนองเบน ไม่เพียงพอ กลางแยกหนองเบนแสงสว่างน้อย เมื่อเทียบกับแสงไฟในด้านอื่นทั้ง 3 ด้าน ทำให้สายตาพร่ามัว ขณะขับรถผ่าน เสี่ยงอุบัติเหตุ,https://lh3.googleusercontent.com/d/1YNLfcydKUcjnfTaZi_FirTuMtMpbBdkE,https://lh3.googleusercontent.com/d/1nY8iRQMtF0II_aGszCuFD8vdK8fKdTQI,อยู่ระหว่างดำเนินการ,
2026-05-22 10:17:33+07,เมืองนครสวรรค์,สวรรค์วิถี,10,นครสวรรค์ตก,เมืองนครสวรรค์,นครสวรรค์,,,,,ยังไม่ได้ดำเนินการ,
2026-05-29 10:48:36+07,บ้านศรีมาย,พหลโยธิน,13,วัดไทรย์,เมืองนครสวรรค์,นครสวรรค์,,,,,ยังไม่ได้ดำเนินการ,
2026-05-29 10:55:19+07,ใต้สะพานปิงวารีเลี้ยวไปสายบ้านแก่ง,รังสิโยทัย,1,วัดไทรย์,เมืองนครสวรรค์,นครสวรรค์,,,,,อยู่ระหว่างดำเนินการ,
2026-07-01 10:02:01+07,สัญญาณไฟไวมาก อยากได้ตัวเลขนับถอยหลัง,พหลโยธิน,,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,"15.693368, 100.122796",สัญญาณไฟไวมาก อยากได้ตัวเลขนับถอยหลัง,https://lh3.googleusercontent.com/d/19-skwjZ5WaOQ--_JnYgT0ZyeJYLn8z3p,,ดำเนินการแก้ไขแล้ว,
2026-07-05 16:03:52+07,หน้า7-11,ดาวดึงส์,,ปากน้ำโพ,เมืองนครสวรรค์,นครสวรรค์,"15.707627, 100.129004",ถนนดาวดึงส์ สามแยกถาวรฟาร์ม รถจอดซ้อนคัน ทำให้ไม่เห็นรถทางด้านขวา,https://lh3.googleusercontent.com/d/1YgyrHz3w5Rx3HXZouO5JVg2_0p6A7fo-,,ดำเนินการแก้ไขแล้ว,
